Compound ID,Uniprot ID,Compound Name,Standard inchi key,Max Phase,Target Pref Name,Gene Names,Target Class,Wild type or mutant,Mutation information,PubMed ID,End Point Standard Type,End Point Standard Relation,End Point Standard Value,End Point Standard Units,Endpoint Mode of Action,Assay Format,Assay Type,Assay Sub Type,Inhibitor Type,Detection Technology,Compound concentration value,Compound concentration value units,Substrate type,Substrate Type Standard Relation,Substrate Type Standard Value,Substrate Type Standard Units,Assay cell line,Assay Description,Activity Comments,Title,Journal,Year,Volume,Issue,Authors,Annotation Comments,Assay ID,DTC Tid,DTC Activity ID,DTC Molregno,Record ID,DTC Document ID
CHEMBL10,P21397,SB-203580,CDMGBJANTYXAIV-UHFFFAOYSA-N,0,MONOAMINE OXIDASE A,MAOA,Enzyme,,,,IC50,,,,,cell_based,,,,,,,,,,,BTI-TN-5B1-4,DRUGMATRIX: Monoamine Oxidase MAO-A enzyme inhibition (substrate: Kynuramine),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774648,DTCT0023168,7484105,DTCC00132413,2089752,46191
CHEMBL10,P21397,SB-203580,CDMGBJANTYXAIV-UHFFFAOYSA-N,0,MONOAMINE OXIDASE A,MAOA,Enzyme,,,,KI,,,,,cell_based,,,,,,,,,,,BTI-TN-5B1-4,DRUGMATRIX: Monoamine Oxidase MAO-A enzyme inhibition (substrate: Kynuramine),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774648,DTCT0023168,7484106,DTCC00132413,2089752,46191
CHEMBL1006,P21397,AMIFOSTINE,JKOQGQFVAUAYPM-UHFFFAOYSA-N,4,MONOAMINE OXIDASE A,MAOA,Enzyme,,,,IC50,,,,,cell_based,,,,,,,,,,,BTI-TN-5B1-4,DRUGMATRIX: Monoamine Oxidase MAO-A enzyme inhibition (substrate: Kynuramine),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774648,DTCT0023168,7291225,DTCC00224760,898282,46191
CHEMBL1006,P21397,AMIFOSTINE,JKOQGQFVAUAYPM-UHFFFAOYSA-N,4,MONOAMINE OXIDASE A,MAOA,Enzyme,,,,KI,,,,,cell_based,,,,,,,,,,,BTI-TN-5B1-4,DRUGMATRIX: Monoamine Oxidase MAO-A enzyme inhibition (substrate: Kynuramine),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774648,DTCT0023168,7291226,DTCC00224760,898282,46191
CHEMBL1009,P21397,LEVODOPA,WTDRDQBEARUVNC-LURJTMIESA-N,4,MONOAMINE OXIDASE A,MAOA,Enzyme,,,,IC50,,,,,cell_based,,,,,,,,,,,BTI-TN-5B1-4,DRUGMATRIX: Monoamine Oxidase MAO-A enzyme inhibition (substrate: Kynuramine),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774648,DTCT0023168,7425187,DTCC00224903,1351112,46191
CHEMBL1009,P21397,LEVODOPA,WTDRDQBEARUVNC-LURJTMIESA-N,4,MONOAMINE OXIDASE A,MAOA,Enzyme,,,,KI,,,,,cell_based,,,,,,,,,,,BTI-TN-5B1-4,DRUGMATRIX: Monoamine Oxidase MAO-A enzyme inhibition (substrate: Kynuramine),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774648,DTCT0023168,7425188,DTCC00224903,1351112,46191
CHEMBL101,P21397,PHENYLBUTAZONE,VYMDGNCVAMGZFE-UHFFFAOYSA-N,4,MONOAMINE OXIDASE A,MAOA,Enzyme,,,,IC50,,,,,cell_based,,,,,,,,,,,BTI-TN-5B1-4,DRUGMATRIX: Monoamine Oxidase MAO-A enzyme inhibition (substrate: Kynuramine),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774648,DTCT0023168,7400142,DTCC00142582,217583,46191
CHEMBL101,P21397,PHENYLBUTAZONE,VYMDGNCVAMGZFE-UHFFFAOYSA-N,4,MONOAMINE OXIDASE A,MAOA,Enzyme,,,,KI,,,,,cell_based,,,,,,,,,,,BTI-TN-5B1-4,DRUGMATRIX: Monoamine Oxidase MAO-A enzyme inhibition (substrate: Kynuramine),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774648,DTCT0023168,7400143,DTCC00142582,217583,46191
CHEMBL101168,P21397,1-AMINOBENZOTRIAZOLE,JCXKHYLLVKZPKE-UHFFFAOYSA-N,0,MONOAMINE OXIDASE A,MAOA,Enzyme,,,,IC50,,,,,cell_based,,,,,,,,,,,BTI-TN-5B1-4,DRUGMATRIX: Monoamine Oxidase MAO-A enzyme inhibition (substrate: Kynuramine),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774648,DTCT0023168,7302820,DTCC01742000,2057641,46191
CHEMBL101168,P21397,1-AMINOBENZOTRIAZOLE,JCXKHYLLVKZPKE-UHFFFAOYSA-N,0,MONOAMINE OXIDASE A,MAOA,Enzyme,,,,KI,,,,,cell_based,,,,,,,,,,,BTI-TN-5B1-4,DRUGMATRIX: Monoamine Oxidase MAO-A enzyme inhibition (substrate: Kynuramine),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774648,DTCT0023168,7302821,DTCC01742000,2057641,46191
CHEMBL1016,P21397,CANDESARTAN,HTQMVQVXFRQIKW-UHFFFAOYSA-N,3,MONOAMINE OXIDASE A,MAOA,Enzyme,,,,IC50,,,,,cell_based,,,,,,,,,,,BTI-TN-5B1-4,DRUGMATRIX: Monoamine Oxidase MAO-A enzyme inhibition (substrate: Kynuramine),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774648,DTCT0023168,7270394,DTCC00228418,413969,46191
