"Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES"
"YZWSFMLXYJBZHX-UHFFFAOYNA-N,CHEMBL90653,29253,A,5.73,chembl20,122944,10116,MAOA,2549,C(#C)CNNCCC1=CC=CC=C1"
"AWVIXFRXKJBBDX-UHFFFAOYNA-N,CHEMBL534467,29253,N,4.36,chembl20,306631,10116,MAOA,2549,C1(=C(N(C)C)C=NC=C1NC)CN"
"CCAMEVFYMFXHEN-UHFFFAOYNA-N,CHEMBL161985,29253,A,6.7,chembl20,305534,10116,MAOA,2549,C1=C(C=CC(CC(N)C)=C1)OCC"
"BYZXZKHEDRHOEE-UHFFFAOYNA-N,CHEMBL147515,29253,N,4.17,chembl20,123102,10116,MAOA,2549,C(#C)CNCCC1=CC(O)=CC=C1"
"DBDVAKGHPZJLTH-UHFFFAOYNA-N,CHEMBL75228,4128,N,3.92,chembl20,799283,9606,MAOA,2549,C=1C=CC=CC1CCN2CCCCC2"
"FSMYWBQIMDSGQP-UHFFFAOYNA-N,CHEMBL86905,4128,N,4.54,chembl20,832296,9606,MAOA,2549,C=1C=CC=2C(C(=COC2C1)C=O)=O"
"YIOOFSFSYIFVGA-UHFFFAOYNA-N,CHEMBL1938474,4128,A,5.04,chembl20,799281,9606,MAOA,2549,C1C=CCCN1CCC2=CC=CC=C2"
"JBDOSUUXMYMWQH-UHFFFAOYNA-N,CHEMBL1381098,4128,N,4.65,chembl20,774648,9606,MAOA,2549,S=C=NC=1C=2C(C=CC1)=CC=CC2"
"GJSGGHOYGKMUPT-UHFFFAOYNA-N,CHEMBL82492,29253,A,6.52,chembl20,123276,10116,MAOA,2549,S1C=2C(=CC=CC2)OC3=C1C=CC=C3"
"MUNOBADFTHUUFG-UHFFFAOYNA-N,CHEMBL1642684,4128,N,4.74,chembl20,699650,9606,MAOA,2549,C=1C(=CC(N)=CC1)C2=CC=CC=C2"
"NJHMFKOILFNEMJ-UHFFFAOYNA-N,CHEMBL1891947,4128,N,4.0,chembl20,934040,9606,MAOA,2549,O1C2=C(C(O)=CC1C=O)C=CC=C2"
